,Timestamp,YEAR,DOY,HR,Scalar_B,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Proton_Density,SW_Plasma_Temperature,SW_Plasma_Speed,Dst-index
189,1999-8-21,1999,8,21,8.298,3.887,-3.27,2.117,-3.739,1.016,3.879,98124.0,442.49,-26.0
190,1999-8-22,1999,8,22,7.761,4.78,-0.924,-5.686,0.969,-5.675,3.963,100270.0,437.41,-24.0
191,1999-8-23,1999,8,23,6.957,6.486,-0.242,-0.708,0.004,-0.747,4.323,100520.0,428.04,-23.0
192,1999-9-0,1999,9,0,6.305,5.312,-2.622,0.966,-2.796,0.092,2.982,136530.0,433.39,-21.0
193,1999-9-1,1999,9,1,7.253,2.225,-2.931,4.684,-4.163,3.628,2.467,128910.0,463.7,-30.0
194,1999-9-2,1999,9,2,7.64,-0.219,-4.196,4.732,-5.281,3.484,2.585,126120.0,481.99,-27.0
195,1999-9-3,1999,9,3,7.022,-0.726,-0.079,2.039,-0.566,2.015,3.117,169690.0,496.1,-18.0
196,1999-9-4,1999,9,4,7.698,-2.543,-6.67,-1.213,-6.408,-2.256,2.236,130550.0,510.25,-17.0
197,1999-9-5,1999,9,5,7.996,-2.458,-6.757,-2.523,-6.453,-3.192,2.174,117440.0,516.42,-22.0
198,1999-9-6,1999,9,6,8.117,-1.334,-7.359,-1.096,-7.271,-1.456,2.107,116180.0,495.58,-25.0
199,1999-9-7,1999,9,7,8.142,1.345,-7.092,0.128,-7.126,0.104,2.333,89585.0,456.59,-26.0
200,1999-9-8,1999,9,8,7.79,2.578,-7.104,-0.627,-7.115,-0.405,2.114,95475.0,435.95,-23.0
201,1999-9-9,1999,9,9,7.622,1.554,-7.218,0.43,-7.187,0.81,2.387,98982.0,447.0,-24.0
202,1999-9-10,1999,9,10,7.823,3.072,-6.911,-0.776,-6.946,-0.356,2.365,104490.0,427.3,-22.0
203,1999-9-11,1999,9,11,7.817,4.389,-5.953,-1.062,-5.999,-0.731,2.429,91319.0,422.63,-17.0
204,1999-9-12,1999,9,12,7.885,2.48,-7.204,-0.455,-7.223,-0.184,2.164,69353.0,428.26,-14.0
205,1999-9-13,1999,9,13,7.881,5.463,-5.257,-0.271,-5.268,-0.226,1.845,52188.0,379.8,-16.0
206,1999-9-14,1999,9,14,7.916,6.098,-4.582,-0.752,-4.55,-0.872,1.977,54411.0,369.3,-18.0
207,1999-9-15,1999,9,15,7.457,6.069,-3.683,-1.619,-3.557,-1.896,3.097,73872.0,398.32,-17.0
208,1999-9-16,1999,9,16,7.492,5.983,-4.313,0.262,-4.316,-0.264,3.133,68850.0,394.26,-16.0
209,1999-9-17,1999,9,17,7.355,5.611,-3.855,1.635,-4.094,0.962,2.68,87922.0,389.82,-20.0
